symbol,cik,company_name,exchange,event_type,event_date,label_quality,source_url,cik_source,acquirer,acquirer_name,dataset_role
CPRX,0001369568,Catalyst Pharmaceuticals Inc,,ACQUISITION,2026-07-15,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Angelini Pharma SpA,ACQUISITION
NUVL,0001861560,Nuvalent Inc,,ACQUISITION,2026-07-15,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,GSK,Gsk PLC,ACQUISITION
GTLS,0000892553,Chart Industries Inc,,ACQUISITION,2026-07-15,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,BKR,Baker Hughes Co.,ACQUISITION
ESPR,0001434868,Esperion Therapeutics Inc,,ACQUISITION,2026-07-13,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,-,Archimed,ACQUISITION
XOMA,0000791908,Xoma Royalty Corp,,ACQUISITION,2026-07-13,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,LGND,Ligand Pharmaceuticals Inc,ACQUISITION
WSR,0001175535,Whitestone Reit,,ACQUISITION,2026-07-13,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,ARES,Ares Management Corp,ACQUISITION
EEX,0001579214,Emerald Holding Inc,,ACQUISITION,2026-07-13,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/,stockanalysis_company_page,APO,Apollo Global Management Inc,ACQUISITION
TBRG,0001169445,Trubridge Inc,,ACQUISITION,2026-07-08,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,-,Iks Health,ACQUISITION
OLPX,0001868726,Olaplex Holdings Inc,,ACQUISITION,2026-07-07,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,HENKY,Henkel Ag & Co Kgaa,ACQUISITION
BLD,0001633931,Topbuild Corp,,ACQUISITION,2026-06-30,provisional_stockanalysis_action_date_not_first_announcement,https://stockanalysis.com/actions/acquisitions/2026/,stockanalysis_company_page,QXO,Qxo Inc,ACQUISITION
