cik,ticker,date,prediction_ts,feature_timestamp,strategic_alternatives_hit_ever,strategic_alternatives_count_ever,investment_bank_hit_ever,investment_bank_count_ever,change_of_control_hit_ever,change_of_control_count_ever,committee_hit_ever,committee_count_ever,transaction_hit_ever,transaction_count_ever,confidentiality_hit_ever,confidentiality_count_ever,financing_hit_ever,financing_count_ever,any_event_language_hit_ever,strategic_alternatives_hit_30d,strategic_alternatives_count_30d,investment_bank_hit_30d,investment_bank_count_30d,change_of_control_hit_30d,change_of_control_count_30d,committee_hit_30d,committee_count_30d,transaction_hit_30d,transaction_count_30d,confidentiality_hit_30d,confidentiality_count_30d,financing_hit_30d,financing_count_30d,any_event_language_hit_30d,strategic_alternatives_hit_90d,strategic_alternatives_count_90d,investment_bank_hit_90d,investment_bank_count_90d,change_of_control_hit_90d,change_of_control_count_90d,committee_hit_90d,committee_count_90d,transaction_hit_90d,transaction_count_90d,confidentiality_hit_90d,confidentiality_count_90d,financing_hit_90d,financing_count_90d,any_event_language_hit_90d,strategic_alternatives_hit_180d,strategic_alternatives_count_180d,investment_bank_hit_180d,investment_bank_count_180d,change_of_control_hit_180d,change_of_control_count_180d,committee_hit_180d,committee_count_180d,transaction_hit_180d,transaction_count_180d,confidentiality_hit_180d,confidentiality_count_180d,financing_hit_180d,financing_count_180d,any_event_language_hit_180d,strategic_alternatives_first_seen_ts,strategic_alternatives_first_seen_within_90d,investment_bank_first_seen_ts,investment_bank_first_seen_within_90d,change_of_control_first_seen_ts,change_of_control_first_seen_within_90d,committee_first_seen_ts,committee_first_seen_within_90d,transaction_first_seen_ts,transaction_first_seen_within_90d,confidentiality_first_seen_ts,confidentiality_first_seen_within_90d,financing_first_seen_ts,financing_first_seen_within_90d,cash_runway_months,market_cap,volume_to_20d_avg,next_event_date,next_event_type,event_20d,time_to_event_trading_days
0000882291,AEMD,2001-07-30,2001-07-30 20:00:00+00:00,2001-07-30 20:00:00+00:00,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,,0,,0,,0,,0,2001-07-30 20:00:00+00:00,1,2001-07-30 20:00:00+00:00,1,,0,,,,2026-09-17,MERGER,0,6558
0000882291,AEMD,2001-07-31,2001-07-31 20:00:00+00:00,2001-07-30 20:00:00+00:00,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,,0,,0,,0,,0,2001-07-30 20:00:00+00:00,1,2001-07-30 20:00:00+00:00,1,,0,,,,2026-09-17,MERGER,0,6557
0000882291,AEMD,2001-08-01,2001-08-01 20:00:00+00:00,2001-07-30 20:00:00+00:00,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,,0,,0,,0,,0,2001-07-30 20:00:00+00:00,1,2001-07-30 20:00:00+00:00,1,,0,,,,2026-09-17,MERGER,0,6556
0000882291,AEMD,2001-08-02,2001-08-02 20:00:00+00:00,2001-07-30 20:00:00+00:00,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,,0,,0,,0,,0,2001-07-30 20:00:00+00:00,1,2001-07-30 20:00:00+00:00,1,,0,,,,2026-09-17,MERGER,0,6555
0000882291,AEMD,2001-08-03,2001-08-03 20:00:00+00:00,2001-07-30 20:00:00+00:00,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,,0,,0,,0,,0,2001-07-30 20:00:00+00:00,1,2001-07-30 20:00:00+00:00,1,,0,,,,2026-09-17,MERGER,0,6554
0000882291,AEMD,2001-08-06,2001-08-06 20:00:00+00:00,2001-07-30 20:00:00+00:00,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,,0,,0,,0,,0,2001-07-30 20:00:00+00:00,1,2001-07-30 20:00:00+00:00,1,,0,,,,2026-09-17,MERGER,0,6553
0000882291,AEMD,2001-08-07,2001-08-07 20:00:00+00:00,2001-07-30 20:00:00+00:00,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,,0,,0,,0,,0,2001-07-30 20:00:00+00:00,1,2001-07-30 20:00:00+00:00,1,,0,,,,2026-09-17,MERGER,0,6552
0000882291,AEMD,2001-08-08,2001-08-08 20:00:00+00:00,2001-07-30 20:00:00+00:00,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,,0,,0,,0,,0,2001-07-30 20:00:00+00:00,1,2001-07-30 20:00:00+00:00,1,,0,,,,2026-09-17,MERGER,0,6551
0000882291,AEMD,2001-08-09,2001-08-09 20:00:00+00:00,2001-07-30 20:00:00+00:00,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,,0,,0,,0,,0,2001-07-30 20:00:00+00:00,1,2001-07-30 20:00:00+00:00,1,,0,,,,2026-09-17,MERGER,0,6550
0000882291,AEMD,2001-08-10,2001-08-10 20:00:00+00:00,2001-07-30 20:00:00+00:00,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,,0,,0,,0,,0,2001-07-30 20:00:00+00:00,1,2001-07-30 20:00:00+00:00,1,,0,,,,2026-09-17,MERGER,0,6549
0000882291,AEMD,2001-08-13,2001-08-13 20:00:00+00:00,2001-07-30 20:00:00+00:00,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,,0,,0,,0,,0,2001-07-30 20:00:00+00:00,1,2001-07-30 20:00:00+00:00,1,,0,,,,2026-09-17,MERGER,0,6548
0000882291,AEMD,2001-08-14,2001-08-14 20:00:00+00:00,2001-07-30 20:00:00+00:00,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,,0,,0,,0,,0,2001-07-30 20:00:00+00:00,1,2001-07-30 20:00:00+00:00,1,,0,,,,2026-09-17,MERGER,0,6547
0000882291,AEMD,2001-08-15,2001-08-15 20:00:00+00:00,2001-07-30 20:00:00+00:00,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,,0,,0,,0,,0,2001-07-30 20:00:00+00:00,1,2001-07-30 20:00:00+00:00,1,,0,,,,2026-09-17,MERGER,0,6546
0000882291,AEMD,2001-08-16,2001-08-16 20:00:00+00:00,2001-07-30 20:00:00+00:00,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,,0,,0,,0,,0,2001-07-30 20:00:00+00:00,1,2001-07-30 20:00:00+00:00,1,,0,,,,2026-09-17,MERGER,0,6545
0000882291,AEMD,2001-08-17,2001-08-17 20:00:00+00:00,2001-07-30 20:00:00+00:00,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,,0,,0,,0,,0,2001-07-30 20:00:00+00:00,1,2001-07-30 20:00:00+00:00,1,,0,,,,2026-09-17,MERGER,0,6544
0000882291,AEMD,2001-08-20,2001-08-20 20:00:00+00:00,2001-07-30 20:00:00+00:00,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,,0,,0,,0,,0,2001-07-30 20:00:00+00:00,1,2001-07-30 20:00:00+00:00,1,,0,,,,2026-09-17,MERGER,0,6543
0000882291,AEMD,2001-08-21,2001-08-21 20:00:00+00:00,2001-07-30 20:00:00+00:00,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,,0,,0,,0,,0,2001-07-30 20:00:00+00:00,1,2001-07-30 20:00:00+00:00,1,,0,,,,2026-09-17,MERGER,0,6542
